batch_size,avg_latency_batch_ms,avg_latency_img_ms,throughput_img_per_s,device,half,imgsz,conf,iou,max_det,iters,warmup
1,13.0359,20.3685,49.1,cuda,True,640,0.25,0.45,300,50,10
2,18.5239,14.4718,69.1,cuda,True,640,0.25,0.45,300,50,10
3,24.3541,12.6844,78.84,cuda,True,640,0.25,0.45,300,50,10
4,32.0323,12.5126,79.92,cuda,True,640,0.25,0.45,300,50,10
5,40.6866,12.7145,78.65,cuda,True,640,0.25,0.45,300,50,10
6,54.589,14.2159,70.34,cuda,True,640,0.25,0.45,300,50,10
7,59.0597,13.183,75.86,cuda,True,640,0.25,0.45,300,50,10
8,71.835,14.0303,71.27,cuda,True,640,0.25,0.45,300,50,10
9,83.7408,14.5383,68.78,cuda,True,640,0.25,0.45,300,50,10
10,89.8822,14.0441,71.2,cuda,True,640,0.25,0.45,300,50,10
11,98.1207,13.9376,71.75,cuda,True,640,0.25,0.45,300,50,10
12,122.5283,15.9542,62.68,cuda,True,640,0.25,0.45,300,50,10
13,137.9653,16.5824,60.31,cuda,True,640,0.25,0.45,300,50,10
14,156.511,17.4677,57.25,cuda,True,640,0.25,0.45,300,50,10
15,166.9692,17.3926,57.5,cuda,True,640,0.25,0.45,300,50,10
16,183.2803,17.8985,55.87,cuda,True,640,0.25,0.45,300,50,10
